#,Player,M-GP,M-GS,M-TOT,M-AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,P-AVG,OFF,DEF,R-TOT,R-AVG,PF,AST,TO,STL,BLK
,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Ramsey, Jahmi'us",27,27,839,31.1,148,335,0.442,60,141,0.426,50,78,0.641,406,15,20,88,108,4,59,60,54,36,18
25,"Moretti, Davide",31,31,1059,34.2,122,291,0.419,67,175,0.383,92,102,0.902,403,13,2,51,53,1.7,65,71,63,36,0
0,"Edwards, Kyler",31,31,1036,33.4,124,307,0.404,48,149,0.322,58,75,0.773,354,11.4,19,104,123,4,55,95,60,29,17
1,"Shannon, Jr., Terrence",29,21,681,23.5,94,200,0.47,9,35,0.257,87,105,0.829,284,9.8,31,89,120,4.1,66,29,37,26,12
22,"Holyfield, TJ",31,30,755,24.4,105,196,0.536,15,43,0.349,51,77,0.662,276,8.9,51,90,141,4.5,101,37,51,26,50
15,"McCullar, Kevin",29,6,537,18.5,65,127,0.512,8,28,0.286,37,51,0.725,175,6,30,63,93,3.2,62,21,37,35,9
44,"Clarke, Chris",30,8,731,24.4,63,139,0.453,2,12,0.167,40,56,0.714,168,5.6,47,152,199,6.6,48,137,67,26,3
2,"Nadolny, Clarence",24,0,145,6,13,30,0.433,0,7,0,21,34,0.618,47,2,4,19,23,1,24,13,11,5,0
24,"Benson, Avery",31,0,301,9.7,19,41,0.463,9,23,0.391,8,9,0.889,55,1.8,14,30,44,1.4,34,7,2,15,7
54,"Tchewa, Russel",23,1,117,5.1,17,34,0.5,0,0,0,4,7,0.571,38,1.7,8,13,21,0.9,16,4,9,3,7
12,"Savrasov, Andrei",21,0,99,4.7,9,24,0.375,6,18,0.333,0,0,0,24,1.1,5,16,21,1,15,3,4,2,1
,Total,31,,6300,203.2,779,1724,0.452,224,631,0.355,448,594,0.754,2230,71.94,281,756,1037,33.5,545,477,424,239,124
,Opponents,,,6300,203.2,685,1683,0.407,186,600,0.31,413,595,0.694,1969,63.52,313,724,1037,33.5,593,303,495,196,100
,,,,,,,,,,,,,,,,,,,,,,,,,
,,31.1,,,,,,,,,,,,,,,,,,,,,,,
,,34.2,,,,,,,,,,,,,,,,,,,,,,,
,,33.4,,,,,,,,,,,,,,,,,,,,,,,
,,23.5,,,,,,,,,,,,,,,,,,,,,,,
,,24.4,,,,,,,,,,,,,,,,,,,,,,,
,,18.5,,,,,,,,,,,,,,,,,,,,,,,
,,24.4,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,
,,9.7,,,,,,,,,,,,,,,,,,,,,,,
,,5.1,,,,,,,,,,,,,,,,,,,,,,,
,,4.7,,,,,,,,,,,,,,,,,,,,,,,
,,215,,,,,,,,,,,,,,,,,,,,,,,
