Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jahmi'us Ramsey,27,27,842,7,15.9,0.442,4.2,9.2,0.454,2.9,6.7,0.426,2.4,3.7,0.641,5.1,2.9,1.7,0.9,2.6,2.8,19.3
2,Terrence Shannon Jr.,29,21,682,5.5,11.7,0.47,5,9.7,0.515,0.5,2.1,0.257,5.1,6.2,0.829,7,1.7,1.5,0.7,2.2,3.9,16.7
3,Davide Moretti,31,31,1058,4.6,11,0.419,2.1,4.4,0.474,2.5,6.6,0.383,3.5,3.9,0.902,2,2.6,1.4,0,2.4,2.5,15.2
4,T.J. Holyfield,31,30,756,5.6,10.4,0.536,4.8,8.1,0.588,0.8,2.3,0.349,2.7,4.1,0.662,7.5,2,1.4,2.6,2.7,5.3,14.6
5,Kyler Edwards,31,31,1035,4.8,11.9,0.404,2.9,6.1,0.481,1.9,5.8,0.322,2.2,2.9,0.773,4.8,3.7,1.1,0.7,2.3,2.1,13.7
6,Clarence Nadolny,24,0,144,3.6,8.3,0.433,3.6,6.4,0.565,0,1.9,0,5.8,9.4,0.618,6.4,3.6,1.4,0,3.1,6.4,13.1
7,Kevin McCullar,29,6,538,4.8,9.4,0.512,4.2,7.4,0.576,0.6,2.1,0.286,2.8,3.8,0.725,6.9,1.6,2.6,0.7,2.8,4.7,13
8,Russel Tchewa,23,1,117,5.8,11.6,0.5,5.8,11.6,0.5,0,0,,1.4,2.4,0.571,7.2,1.4,1,2.4,3.1,5.5,13
9,Andrei Savrasov,21,0,99,3.6,9.7,0.375,1.2,2.4,0.5,2.4,7.3,0.333,0,0,,8.5,1.2,0.8,0.4,1.6,6.1,9.7
10,Chris Clarke,30,8,728,3.5,7.6,0.453,3.4,7,0.48,0.1,0.7,0.167,2.2,3.1,0.714,10.9,7.5,1.4,0.2,3.7,2.6,9.2
11,Avery Benson,31,0,299,2.5,5.5,0.463,1.3,2.4,0.556,1.2,3.1,0.391,1.1,1.2,0.889,5.9,0.9,2,0.9,0.3,4.5,7.4
